file	source	date	why_known_human
blogauthorship__001.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__002.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__003.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__004.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__005.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__006.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__007.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__008.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__009.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__010.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__011.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__012.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__013.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__014.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__015.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__016.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__017.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__018.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__019.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__020.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__021.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__022.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__023.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__024.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__025.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__026.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__027.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__028.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__029.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__030.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__031.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__032.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__033.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__034.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__035.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__036.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__037.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__038.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__039.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
blogauthorship__040.txt	blogauthorship	2004	Blog Authorship Corpus, blogger.com August 2004, pre-ChatGPT by 18 years
