file	model	served	genre	words	date	date_src	prompt
gemini-3.7-flash__decision__01.txt	gemini-3.7-flash		decision	416	2026-08-28	mtime	Should I use Postgres or MongoDB for a booking system with about 50,000 records?
gemini-3.7-flash__decision__02.txt	gemini-3.7-flash		decision	520	2026-08-28	mtime	We're deciding between hiring a second developer or paying for more contractors. Which way should we go?
gemini-3.7-flash__decision__03.txt	gemini-3.7-flash		decision	582	2026-08-28	mtime	Should I take a 15% pay cut for a fully remote job?
gemini-3.7-flash__decision__04.txt	gemini-3.7-flash		decision	656	2026-08-28	mtime	Is it worth moving our small office to a four-day week?
gemini-3.7-flash__decision__05.txt	gemini-3.7-flash		decision	605	2026-08-28	mtime	Should we rebuild our ten-year-old internal tool or keep patching it?
gemini-3.7-flash__decision__06.txt	gemini-3.7-flash		decision	489	2026-08-28	mtime	Do I renew a three-year software contract at a discount or go year to year?
gemini-3.7-flash__decision__07.txt	gemini-3.7-flash		decision	517	2026-08-28	mtime	Should a two-person company bother with formal performance reviews?
gemini-3.7-flash__decision__08.txt	gemini-3.7-flash		decision	561	2026-08-28	mtime	Is it a mistake to launch a product without a pricing page?
gemini-3.7-flash__critique_plan__01.txt	gemini-3.7-flash		critique_plan	479	2026-08-28	mtime	Here's my plan for migrating 400 users to a new email system over one weekend. What am I missing?
gemini-3.7-flash__critique_plan__02.txt	gemini-3.7-flash		critique_plan	468	2026-08-28	mtime	My plan is to run ads for six weeks, measure signups, and decide from there. Poke holes in it.
gemini-3.7-flash__critique_plan__03.txt	gemini-3.7-flash		critique_plan	680	2026-08-28	mtime	I want to teach myself data analysis in three months by doing one project a week. Thoughts?
gemini-3.7-flash__critique_plan__04.txt	gemini-3.7-flash		critique_plan	571	2026-08-28	mtime	We're going to fix our support backlog by hiring two temps for a month. What could go wrong?
gemini-3.7-flash__critique_plan__05.txt	gemini-3.7-flash		critique_plan	522	2026-08-28	mtime	My plan for the quarter is to cut meetings by half and see what breaks. Reactions?
gemini-3.7-flash__critique_plan__06.txt	gemini-3.7-flash		critique_plan	368	2026-08-28	mtime	I want to move our backups from an external drive to cloud storage and stop the drive rotation. Sound right?
gemini-3.7-flash__critique_plan__07.txt	gemini-3.7-flash		critique_plan	551	2026-08-28	mtime	We plan to open a second location once the first one clears 20% margin. Is that the right trigger?
gemini-3.7-flash__critique_plan__08.txt	gemini-3.7-flash		critique_plan	754	2026-08-28	mtime	I'm going to reply to every customer review personally for a year. Talk me through it.
