rank,confidence,category,tell,posts_mentioning,share_pct_of_ontopic,share_2021,share_2022,share_2023,share_2024,share_2025,share_2026
1,low,phrasing,"overuse of ""however,"" / ""thus,"" / ""hence""",502,6.3,11.5,14.0,14.3,13.1,6.0,3.4
2,high,format,"em dash (""—"") as a tell",359,4.5,0.0,0.0,0.0,0.3,6.7,4.2
3,high,format,bolded lead-in bullets (**Word:**),220,2.8,0.0,0.0,5.1,2.6,3.4,1.8
4,low,diction,nuanced / nuance,183,2.3,0.0,0.0,1.4,3.3,3.2,1.5
5,low,diction,leverage,167,2.1,0.0,1.2,1.2,2.8,1.9,2.4
6,high,phrasing,"""it's not just X, it's Y""",155,1.9,0.0,0.0,1.9,1.8,2.0,2.0
7,low,phrasing,"""when it comes to""",148,1.9,0.0,3.5,2.2,3.1,1.8,1.6
8,high,format,everything in bullet points / lists,143,1.8,0.0,1.2,1.5,2.0,1.9,1.7
9,low,phrasing,"overuse of ""moreover/furthermore/additionally""",138,1.7,3.8,2.3,2.7,3.8,1.6,1.2
10,low,diction,comprehensive,131,1.6,0.0,3.5,2.9,3.8,1.7,0.9
11,high,diction,game-changer,131,1.6,0.0,0.0,1.5,2.8,1.9,1.2
12,high,phrasing,"""dive in"" / ""deep dive"" / ""let's dive""",127,1.6,0.0,0.0,2.9,2.2,1.9,1.0
13,low,diction,navigate / navigating,122,1.5,0.0,0.0,3.1,2.8,1.2,1.4
14,low,diction,"unlock (""unlock the potential"")",117,1.5,0.0,1.2,1.0,2.6,1.6,1.2
15,high,diction,delve,116,1.5,0.0,0.0,1.2,3.5,1.3,1.3
16,low,diction,showcase,114,1.4,0.0,1.2,1.4,2.6,1.2,1.4
17,high,format,headers / bold everywhere / markdown,108,1.4,0.0,0.0,0.9,0.6,0.8,2.2
18,low,diction,"utilize (instead of ""use"")",102,1.3,0.0,1.2,1.5,3.2,1.2,0.9
19,low,diction,crucial,92,1.2,0.0,3.5,2.0,1.5,1.4,0.6
20,low,phrasing,"""not only ... but also""",78,1.0,0.0,0.0,3.1,2.0,1.0,0.4
21,high,phrasing,"""in conclusion"" / ""in summary""",76,1.0,0.0,0.0,2.0,0.8,1.2,0.6
22,low,diction,"harness (""harness the power"")",71,0.9,0.0,0.0,1.7,0.4,0.5,1.3
23,low,diction,seamless(ly),70,0.9,0.0,0.0,0.7,1.0,1.1,0.7
24,low,phrasing,"""first/secondly/lastly"" stack",68,0.9,0.0,4.7,1.4,2.1,0.8,0.5
25,low,phrasing,"""the world of ...""",64,0.8,0.0,0.0,3.2,2.6,0.6,0.2
26,low,diction,profound,62,0.8,0.0,0.0,0.9,0.7,1.1,0.5
27,low,diction,streamline,56,0.7,0.0,1.2,2.0,1.3,0.7,0.4
28,high,diction,tapestry,51,0.6,0.0,0.0,0.2,1.0,0.7,0.6
29,low,diction,"realm (""in the realm of"")",50,0.6,0.0,1.2,1.4,1.4,0.7,0.3
30,low,diction,elevate / elevating,50,0.6,0.0,0.0,1.2,1.4,0.6,0.4
31,low,diction,robust,49,0.6,0.0,0.0,0.3,1.0,0.9,0.4
32,high,diction,unleash,49,0.6,0.0,0.0,1.4,0.6,0.7,0.4
33,high,phrasing,"""it's important to note/remember""",47,0.6,0.0,2.3,0.3,0.7,0.8,0.4
34,low,diction,meticulous(ly),44,0.6,0.0,0.0,0.3,2.2,0.8,0.1
35,low,phrasing,"""at the end of the day""",43,0.5,0.0,0.0,0.2,0.8,0.6,0.5
36,low,diction,empower,42,0.5,0.0,0.0,0.3,0.3,0.8,0.4
37,low,diction,intricate / intricacies,38,0.5,0.0,0.0,1.4,1.1,0.4,0.2
38,high,format,perfectly structured / formulaic,38,0.5,0.0,0.0,0.2,0.4,0.6,0.4
39,low,diction,cutting-edge,36,0.5,0.0,1.2,0.5,0.6,0.8,0.1
40,low,phrasing,"""more than just""",36,0.5,0.0,0.0,0.5,0.8,0.6,0.3
41,low,diction,foster,34,0.4,0.0,0.0,0.7,0.8,0.4,0.3
42,low,diction,captivating,34,0.4,0.0,0.0,1.4,1.4,0.5,0.0
43,high,phrasing,"""it's worth noting""",34,0.4,0.0,0.0,0.5,0.6,0.3,0.5
