n	file	arm	authorship	words
1	blogauthorship__030.txt	human	human	525
2	claude-opus-5__newsletter__04.txt	ai-2026-09-01	ai	1279
3	newsletter__020.txt	newsletter	human	601
4	medium__021.txt	medium	human	1040
5	newsletter__025.txt	newsletter	human	580
6	chat-latest__blog_post__03.txt	ai-openai	ai	722
7	newsletter__023.txt	newsletter	human	535
8	chat-latest__blog_post__05.txt	ai-openai	ai	740
9	claude-opus-5__cover_letter__01.txt	ai	ai	507
10	gemini-flash-latest__recommendation__05.txt	ai-gemini	ai	516
11	medium__022.txt	medium	human	740
12	gpt-5.5__internal_memo__05.txt	ai-openai-55	ai	509
13	gpt-5.5__newsletter__01.txt	ai-openai-55	ai	1108
14	blogauthorship__040.txt	human	human	661
15	blogauthorship__031.txt	human	human	1278
16	medium__025.txt	medium	human	894
17	gemini-flash-latest__recommendation__04.txt	ai-gemini	ai	708
18	newsletter__004.txt	newsletter	human	570
19	claude-opus-5__newsletter__02.txt	ai	ai	563
20	claude-opus-5__blog_post__03.txt	ai	ai	524
21	blogauthorship__018.txt	human	human	865
22	gpt-5.5__newsletter__04.txt	ai-openai-55	ai	768
23	newsletter__003.txt	newsletter	human	510
24	blogauthorship__002.txt	human	human	757
25	claude-opus-5__product_update__01.txt	ai-2026-09-01	ai	556
26	blogauthorship__006.txt	human	human	827
27	claude-opus-5__newsletter__01.txt	ai-2026-09-01	ai	1161
28	medium__010.txt	medium	human	701
29	gemini-flash-latest__recommendation__03.txt	ai-gemini	ai	691
30	chat-latest__newsletter__05.txt	ai-openai	ai	646
