site,date_tested,result_without_account,text_sent_before_gate,what_free_tier_shows,gate_demands,sells_humanizer_too,privacy_claim,cheapest_paid,unfalsifiable_claim,notes
humansounding.com,,,,,,,,,,CONTROL - runs in browser; check Network tab shows no text leaving
textguardai.com,,,,,,,,,,"preview shown pre-payment was Lorem ipsum, 2026-08-29"
quillbot.com,,,,,,,,,,
undetectable.ai,,,,,,,,,,
gptzero.me,,,,,,,,,,
pangram.com,,,,,,,,,,"attacked repeatedly in r/humanizing by accounts promoting Verva - weak positive signal"
originality.ai,,,,,,,,,,
copyleaks.com,,,,,,,,,,
scribbr.com,,,,,,,,,,
walterwrites.ai,,,,,,,,,,"landing page is go.walterwrites.ai; named in r/humanizing"
phrasly.ai,,,,,,,,,,
editgpt.app,,,,,,,,,,
stealthgpt.ai,,,,,,,,,,
zerogpt.com,,,,,,,,,,
sapling.ai,,,,,,,,,,
humbot.ai,,,,,,,,,,
winston.ai,,,,,,,,,,
verva.com,,,,,,,,,,"formerly TwainGPT; sells detector AND humanizer; ranked #1 and #2 as separate products in r/humanizing thread 1vsefkf"
ryne.ai,,,,,,,,,,"sells BOTH detector and humanizer; claims Bypass Turnitin and GPTZero with a 99.9% success rate; free tier 250 words; Gemini says r/besthumanizeai and r/FreeAIHumanizer are tied to it"
humanizerpro.ai,,,,,,,,,,"r/HumanizerPro is operated by its creator - vendor subreddit; UNVERIFIED domain"
writebros.ai,,,,,,,,,,"promoted in r/bestaihumanizertext by u/WritebrosAI; UNVERIFIED domain"
rephrasio.com,,,,,,,,,,"account required per Gemini; UNVERIFIED"
hidemy.ai,,,,,,,,,,"domain confirmed; humanizer"
hix.ai,,,,,,,,,,"UNVERIFIED"
