file	publication	publication_name	author	genre	tagline	url	year	words	why_known_human
eatwellenough__2021__001.txt	eatwellenough					https://eatwellenough.substack.com/p/how-to-be-on-vacation	2021		Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__01.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/new-england-is-an-energy-crisis-waiting	2021	2020	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__02.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/magnesium-pi	2021	1196	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__03.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/how-to-brick-an-entire-economy	2021	1232	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__04.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/what-if-electricity-were-free	2021	1767	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__05.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/coking-gold	2021	2103	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__06.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/who-wants-to-be-a-chickenaire	2021	1259	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__07.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/putins-fools-rush-in	2021	880	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
doomberg__2021__08.txt	doomberg	Doomberg	Doomberg		A lateral-thinking approach to energy, finance, and geopolitics | Subscribe below for free previews of new articles | Click through to our About page for pricin	https://newsletter.doomberg.com/p/south-by-southwest	2021	936	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__01.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/transcript-of-winter-catastrophe	2021	9671	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__02.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/on-the-hunt	2021	2644	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__03.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/no-questions	2021	1128	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__04.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/bound-for-collision	2021	1426	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__05.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/wall-street-delusionals	2021	1080	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__06.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/coming-soon	2021	1059	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__07.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/42-bill-bonner-on-how-economic-policies-3f9	2021	6340	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
bonnerprivateresearch__2021__08.txt	bonner-private-research	Bonner Private Research	Bonner Private Research		Daily, weekly, and monthly investment research and analysis for individuals from Bill Bonner, Tom Dyson, Dan Denning, and other members of our private research 	https://www.bonnerprivateresearch.com/p/32-dan-denning-on-rocketing-inflation-1db	2021	312	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__01.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/new-study-to-evaluate-covid-19-vaccination	2021	963	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__02.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/new-study-shows-vaginal-laser-therapy	2021	1667	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__03.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/how-can-we-be-sure-vaccination-against	2021	2627	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__04.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/debunking-a-persistent-covid-19-lie	2021	1304	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__05.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/twelve-essential-tips-for-researching	2021	3549	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__06.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/evening-primrose-oil-and-menopause	2021	644	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__07.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/no-the-covid-19-vaccine-does-not-847	2021	1766	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vajenda__2021__08.txt	vajenda	The Vajenda	Dr. Jen Gunter		Imagine a Venn diagram with overlapping circles labeled: Medical Facts, Feminism, and Fire. You've arrived at their intersection.	https://vajenda.substack.com/p/plan-b-is-contraception	2021	2209	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
howardluksmd__2020__01.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/exercise-the-best-medicine-but	2020	806	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__02.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/mitochondria-the-key-to-longevity	2020	479	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__03.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/should-i-stop-running-if-my-knee	2020	401	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__04.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/single-sport-specialization-and-your	2020	773	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
