file	model	served	genre	words	date	date_src	prompt
claude-opus-5__linkedin__01.txt	claude-opus-5		linkedin	573	2026-08-18	mtime	Write a LinkedIn post about why our team switched to a four-day week.
claude-opus-5__linkedin__02.txt	claude-opus-5		linkedin	553	2026-08-18	mtime	Write a LinkedIn post announcing that I've been promoted to director of operations.
claude-opus-5__linkedin__03.txt	claude-opus-5		linkedin	627	2026-08-18	mtime	Write a LinkedIn post about what I learned from a project that failed.
claude-opus-5__linkedin__04.txt	claude-opus-5		linkedin	537	2026-08-18	mtime	Write a LinkedIn post about hiring for attitude over experience.
claude-opus-5__linkedin__05.txt	claude-opus-5		linkedin	546	2026-08-18	mtime	Write a LinkedIn post about attending my first industry conference in five years.
claude-opus-5__cover_letter__01.txt	claude-opus-5		cover_letter	507	2026-08-18	mtime	Write a cover letter for an operations manager job at a logistics company.
claude-opus-5__cover_letter__02.txt	claude-opus-5		cover_letter	528	2026-08-18	mtime	Write a cover letter for a marketing coordinator role at a nonprofit.
claude-opus-5__cover_letter__03.txt	claude-opus-5		cover_letter	564	2026-08-18	mtime	Write a cover letter for a junior software developer position.
claude-opus-5__cover_letter__04.txt	claude-opus-5		cover_letter	551	2026-08-18	mtime	Write a cover letter for a school administrator job.
claude-opus-5__cover_letter__05.txt	claude-opus-5		cover_letter	571	2026-08-18	mtime	Write a cover letter for an accounting role at a mid-sized manufacturer.
claude-opus-5__newsletter__01.txt	claude-opus-5		newsletter	542	2026-08-18	mtime	Write a newsletter issue about how to build a morning routine that sticks.
claude-opus-5__newsletter__02.txt	claude-opus-5		newsletter	563	2026-08-18	mtime	Write a newsletter issue about managing money in your twenties.
claude-opus-5__newsletter__03.txt	claude-opus-5		newsletter	547	2026-08-18	mtime	Write a newsletter issue about why most productivity systems fail.
claude-opus-5__newsletter__04.txt	claude-opus-5		newsletter	578	2026-08-18	mtime	Write a newsletter issue about dealing with burnout at work.
claude-opus-5__newsletter__05.txt	claude-opus-5		newsletter	516	2026-08-18	mtime	Write a newsletter issue about the psychology of habit change.
claude-opus-5__marketing_email__01.txt	claude-opus-5		marketing_email	585	2026-08-18	mtime	Write a marketing email announcing a new feature in our project management app.
claude-opus-5__marketing_email__02.txt	claude-opus-5		marketing_email	529	2026-08-18	mtime	Write a marketing email for a local gym's January membership offer.
claude-opus-5__marketing_email__03.txt	claude-opus-5		marketing_email	537	2026-08-18	mtime	Write a marketing email inviting customers to a webinar on tax changes.
claude-opus-5__marketing_email__04.txt	claude-opus-5		marketing_email	518	2026-08-18	mtime	Write a marketing email re-engaging customers who haven't logged in for 90 days.
claude-opus-5__marketing_email__05.txt	claude-opus-5		marketing_email	543	2026-08-18	mtime	Write a marketing email launching a new line of running shoes.
claude-opus-5__blog_post__01.txt	claude-opus-5		blog_post	535	2026-08-18	mtime	Write a blog post about choosing a password manager.
claude-opus-5__blog_post__02.txt	claude-opus-5		blog_post	516	2026-08-18	mtime	Write a blog post about remote work and company culture.
claude-opus-5__blog_post__03.txt	claude-opus-5		blog_post	524	2026-08-18	mtime	Write a blog post about how to run a better meeting.
claude-opus-5__blog_post__04.txt	claude-opus-5		blog_post	571	2026-08-18	mtime	Write a blog post about what to look for when buying a used car.
claude-opus-5__blog_post__05.txt	claude-opus-5		blog_post	549	2026-08-18	mtime	Write a blog post about the basics of home network security.
claude-opus-5__internal_memo__01.txt	claude-opus-5		internal_memo	525	2026-08-18	mtime	Write a memo to staff announcing a new expense policy.
claude-opus-5__internal_memo__02.txt	claude-opus-5		internal_memo	567	2026-08-18	mtime	Write a memo to staff about returning to the office three days a week.
claude-opus-5__internal_memo__03.txt	claude-opus-5		internal_memo	560	2026-08-18	mtime	Write a memo announcing a reorganization of the customer service team.
claude-opus-5__internal_memo__04.txt	claude-opus-5		internal_memo	529	2026-08-18	mtime	Write a memo to staff about a new mandatory security training.
claude-opus-5__internal_memo__05.txt	claude-opus-5		internal_memo	570	2026-08-18	mtime	Write a memo explaining changes to the annual review process.
claude-opus-5__product_update__01.txt	claude-opus-5		product_update	548	2026-08-18	mtime	Write a product update announcing a redesigned dashboard.
claude-opus-5__product_update__02.txt	claude-opus-5		product_update	546	2026-08-18	mtime	Write a product update explaining that we're sunsetting an old integration.
claude-opus-5__product_update__03.txt	claude-opus-5		product_update	525	2026-08-18	mtime	Write a product update about improved mobile performance.
claude-opus-5__product_update__04.txt	claude-opus-5		product_update	519	2026-08-18	mtime	Write a product update announcing single sign-on support.
claude-opus-5__product_update__05.txt	claude-opus-5		product_update	523	2026-08-18	mtime	Write a product update about a new reporting feature.
claude-opus-5__recommendation__01.txt	claude-opus-5		recommendation	525	2026-08-18	mtime	Write a letter of recommendation for a student applying to graduate school.
claude-opus-5__recommendation__02.txt	claude-opus-5		recommendation	537	2026-08-18	mtime	Write a letter of recommendation for an employee applying for an internal promotion.
claude-opus-5__recommendation__03.txt	claude-opus-5		recommendation	548	2026-08-18	mtime	Write a performance review for a sales rep who exceeded quota but struggled with paperwork.
claude-opus-5__recommendation__04.txt	claude-opus-5		recommendation	555	2026-08-18	mtime	Write a performance review for a developer who is technically strong and hard to work with.
claude-opus-5__recommendation__05.txt	claude-opus-5		recommendation	527	2026-08-18	mtime	Write a letter of recommendation for a colleague applying for a board seat.
