file	model	served	genre	words	date	date_src	prompt
gpt-5.5-2026-04-23__decision__01.txt	gpt-5.5-2026-04-23		decision	308	2026-08-28	mtime	Should I use Postgres or MongoDB for a booking system with about 50,000 records?
gpt-5.5-2026-04-23__decision__02.txt	gpt-5.5-2026-04-23		decision	473	2026-08-28	mtime	We're deciding between hiring a second developer or paying for more contractors. Which way should we go?
gpt-5.5-2026-04-23__decision__03.txt	gpt-5.5-2026-04-23		decision	618	2026-08-28	mtime	Should I take a 15% pay cut for a fully remote job?
gpt-5.5-2026-04-23__decision__04.txt	gpt-5.5-2026-04-23		decision	553	2026-08-28	mtime	Is it worth moving our small office to a four-day week?
gpt-5.5-2026-04-23__decision__05.txt	gpt-5.5-2026-04-23		decision	655	2026-08-28	mtime	Should we rebuild our ten-year-old internal tool or keep patching it?
gpt-5.5-2026-04-23__decision__06.txt	gpt-5.5-2026-04-23		decision	374	2026-08-28	mtime	Do I renew a three-year software contract at a discount or go year to year?
gpt-5.5-2026-04-23__decision__07.txt	gpt-5.5-2026-04-23		decision	268	2026-08-28	mtime	Should a two-person company bother with formal performance reviews?
gpt-5.5-2026-04-23__decision__08.txt	gpt-5.5-2026-04-23		decision	340	2026-08-28	mtime	Is it a mistake to launch a product without a pricing page?
gpt-5.5-2026-04-23__critique_plan__01.txt	gpt-5.5-2026-04-23		critique_plan	1587	2026-08-28	mtime	Here's my plan for migrating 400 users to a new email system over one weekend. What am I missing?
gpt-5.5-2026-04-23__critique_plan__02.txt	gpt-5.5-2026-04-23		critique_plan	1226	2026-08-28	mtime	My plan is to run ads for six weeks, measure signups, and decide from there. Poke holes in it.
gpt-5.5-2026-04-23__critique_plan__03.txt	gpt-5.5-2026-04-23		critique_plan	1215	2026-08-28	mtime	I want to teach myself data analysis in three months by doing one project a week. Thoughts?
gpt-5.5-2026-04-23__critique_plan__04.txt	gpt-5.5-2026-04-23		critique_plan	498	2026-08-28	mtime	We're going to fix our support backlog by hiring two temps for a month. What could go wrong?
gpt-5.5-2026-04-23__critique_plan__05.txt	gpt-5.5-2026-04-23		critique_plan	292	2026-08-28	mtime	My plan for the quarter is to cut meetings by half and see what breaks. Reactions?
gpt-5.5-2026-04-23__critique_plan__06.txt	gpt-5.5-2026-04-23		critique_plan	245	2026-08-28	mtime	I want to move our backups from an external drive to cloud storage and stop the drive rotation. Sound right?
gpt-5.5-2026-04-23__critique_plan__07.txt	gpt-5.5-2026-04-23		critique_plan	664	2026-08-28	mtime	We plan to open a second location once the first one clears 20% margin. Is that the right trigger?
gpt-5.5-2026-04-23__critique_plan__08.txt	gpt-5.5-2026-04-23		critique_plan	2213	2026-08-28	mtime	I'm going to reply to every customer review personally for a year. Talk me through it.
gpt-5.5-2026-04-23__explain__01.txt	gpt-5.5-2026-04-23		explain	1103	2026-08-28	mtime	Explain how DNS actually resolves a domain name.
gpt-5.5-2026-04-23__explain__02.txt	gpt-5.5-2026-04-23		explain	191	2026-08-28	mtime	Explain what a p-value is to someone who never took statistics.
gpt-5.5-2026-04-23__explain__03.txt	gpt-5.5-2026-04-23		explain	416	2026-08-28	mtime	Explain why software estimates are always wrong.
gpt-5.5-2026-04-23__explain__04.txt	gpt-5.5-2026-04-23		explain	273	2026-08-28	mtime	Explain how compound interest works and why it surprises people.
gpt-5.5-2026-04-23__explain__05.txt	gpt-5.5-2026-04-23		explain	337	2026-08-28	mtime	Explain the difference between encryption and hashing.
gpt-5.5-2026-04-23__explain__06.txt	gpt-5.5-2026-04-23		explain	525	2026-08-28	mtime	Explain what happens to my data when a company says it was breached.
gpt-5.5-2026-04-23__explain__07.txt	gpt-5.5-2026-04-23		explain	180	2026-08-28	mtime	Explain why airlines overbook flights.
gpt-5.5-2026-04-23__explain__08.txt	gpt-5.5-2026-04-23		explain	336	2026-08-28	mtime	Explain how a bill becomes law in the United States.
gpt-5.5-2026-04-23__diagnose__01.txt	gpt-5.5-2026-04-23		diagnose	796	2026-08-28	mtime	Our website is slow every weekday at 9am and fine the rest of the day. Where do I start?
gpt-5.5-2026-04-23__diagnose__02.txt	gpt-5.5-2026-04-23		diagnose	636	2026-08-28	mtime	Two of my team members stopped talking to each other and the work is suffering. What now?
gpt-5.5-2026-04-23__diagnose__03.txt	gpt-5.5-2026-04-23		diagnose	395	2026-08-28	mtime	My laptop battery went from a full day to three hours in about a month. What's happening?
gpt-5.5-2026-04-23__diagnose__04.txt	gpt-5.5-2026-04-23		diagnose	1240	2026-08-28	mtime	Signups are steady but activation dropped 30% last month. How do I find the cause?
gpt-5.5-2026-04-23__diagnose__05.txt	gpt-5.5-2026-04-23		diagnose	553	2026-08-28	mtime	Customers keep asking questions our documentation already answers. Why?
gpt-5.5-2026-04-23__diagnose__06.txt	gpt-5.5-2026-04-23		diagnose	744	2026-08-28	mtime	Our weekly meeting always runs over and nobody remembers what was decided. Diagnose it.
gpt-5.5-2026-04-23__diagnose__07.txt	gpt-5.5-2026-04-23		diagnose	412	2026-08-28	mtime	I keep missing deadlines even though I'm working more hours than ever. What's going on?
gpt-5.5-2026-04-23__diagnose__08.txt	gpt-5.5-2026-04-23		diagnose	317	2026-08-28	mtime	Sales says the product is fine and support says it's broken. Who do I believe?
gpt-5.5-2026-04-23__compare__01.txt	gpt-5.5-2026-04-23		compare	512	2026-08-28	mtime	What's the difference between a VPN and a proxy, practically speaking?
gpt-5.5-2026-04-23__compare__02.txt	gpt-5.5-2026-04-23		compare	627	2026-08-28	mtime	Compare renting and buying a home for someone who moves every four years.
gpt-5.5-2026-04-23__compare__03.txt	gpt-5.5-2026-04-23		compare	313	2026-08-28	mtime	What's the real difference between a CFO and a controller?
gpt-5.5-2026-04-23__compare__04.txt	gpt-5.5-2026-04-23		compare	468	2026-08-28	mtime	Compare index funds and individual stocks for a first-time investor.
gpt-5.5-2026-04-23__compare__05.txt	gpt-5.5-2026-04-23		compare	564	2026-08-28	mtime	How do a co-op and a condo actually differ for the owner?
gpt-5.5-2026-04-23__compare__06.txt	gpt-5.5-2026-04-23		compare	402	2026-08-28	mtime	Compare an electric car and a hybrid for someone who drives 12,000 miles a year.
gpt-5.5-2026-04-23__compare__07.txt	gpt-5.5-2026-04-23		compare	514	2026-08-28	mtime	What's the difference between a trademark and a copyright for a small brand?
gpt-5.5-2026-04-23__compare__08.txt	gpt-5.5-2026-04-23		compare	853	2026-08-28	mtime	Compare an in-house help desk with an outsourced one for a 60-person company.
gpt-5.5-2026-04-23__review_work__01.txt	gpt-5.5-2026-04-23		review_work	129	2026-08-28	mtime	Read this and tell me if it's any good: 'Our mission is to empower businesses to unlock their full potential through innovative solutions.'
gpt-5.5-2026-04-23__review_work__02.txt	gpt-5.5-2026-04-23		review_work	105	2026-08-28	mtime	Is this a good subject line? 'Quick question about your account'
gpt-5.5-2026-04-23__review_work__03.txt	gpt-5.5-2026-04-23		review_work	168	2026-08-28	mtime	Here's my resume summary: 'Results-driven professional with 10+ years of experience.' Fix it or tell me why it's fine.
gpt-5.5-2026-04-23__review_work__04.txt	gpt-5.5-2026-04-23		review_work	129	2026-08-28	mtime	I wrote this to a client: 'Sorry for the delay, things have been crazy here.' Should I send it?
gpt-5.5-2026-04-23__review_work__05.txt	gpt-5.5-2026-04-23		review_work	152	2026-08-28	mtime	My about page opens with 'Founded in 2019, we are a team of passionate experts.' Thoughts?
gpt-5.5-2026-04-23__review_work__06.txt	gpt-5.5-2026-04-23		review_work	120	2026-08-28	mtime	Is 'circle back' an acceptable thing to write in a work email?
gpt-5.5-2026-04-23__review_work__07.txt	gpt-5.5-2026-04-23		review_work	417	2026-08-28	mtime	My pitch is 'Uber but for dog walking.' What's wrong with that as a description?
gpt-5.5-2026-04-23__review_work__08.txt	gpt-5.5-2026-04-23		review_work	179	2026-08-28	mtime	I named my product 'Synergize.' Be straight with me.
gpt-5.5-2026-04-23__personal__01.txt	gpt-5.5-2026-04-23		personal	294	2026-08-28	mtime	I got an offer from a competitor and my current boss just asked me directly if I'm interviewing. What do I say?
gpt-5.5-2026-04-23__personal__02.txt	gpt-5.5-2026-04-23		personal	208	2026-08-28	mtime	My friend asked me to invest in her business and I don't think it will work. How do I answer?
gpt-5.5-2026-04-23__personal__03.txt	gpt-5.5-2026-04-23		personal	217	2026-08-28	mtime	I've been in the same job for eleven years and I can't tell if that's stability or being stuck.
gpt-5.5-2026-04-23__personal__04.txt	gpt-5.5-2026-04-23		personal	439	2026-08-28	mtime	My neighbor's tree drops branches in my yard every storm. How do I raise it without starting a feud?
gpt-5.5-2026-04-23__personal__05.txt	gpt-5.5-2026-04-23		personal	466	2026-08-28	mtime	I said yes to organizing the family reunion and now I regret it. What are my options?
gpt-5.5-2026-04-23__personal__06.txt	gpt-5.5-2026-04-23		personal	758	2026-08-28	mtime	A colleague takes credit for my work in meetings. What do I actually do about it?
gpt-5.5-2026-04-23__personal__07.txt	gpt-5.5-2026-04-23		personal	257	2026-08-28	mtime	I want to go back to school at 41 and everyone thinks it's a bad idea.
gpt-5.5-2026-04-23__personal__08.txt	gpt-5.5-2026-04-23		personal	309	2026-08-28	mtime	My adult son wants to move back home and I'm not sure I want that.
