file	model	served	genre	words	date	date_src	prompt
chat-latest__blog_2004__01.txt	chat-latest	chat-latest	blog_2004	208	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about staying up to watch the Olympics opening ceremony.
chat-latest__blog_2004__02.txt	chat-latest	chat-latest	blog_2004	190	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about finally getting a Gmail invite from a friend.
chat-latest__blog_2004__03.txt	chat-latest	chat-latest	blog_2004	316	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about my first week at a summer job.
chat-latest__blog_2004__04.txt	chat-latest	chat-latest	blog_2004	212	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about the heat and our apartment having no air conditioning.
chat-latest__blog_2004__05.txt	chat-latest	chat-latest	blog_2004	270	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about switching from dial-up to broadband at home.
chat-latest__blog_2004__06.txt	chat-latest	chat-latest	blog_2004	252	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about my sister's wedding last weekend.
chat-latest__blog_2004__07.txt	chat-latest	chat-latest	blog_2004	193	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about getting my exam results back.
chat-latest__blog_2004__08.txt	chat-latest	chat-latest	blog_2004	280	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about buying a digital camera and the photos coming out wrong.
chat-latest__blog_2004__09.txt	chat-latest	chat-latest	blog_2004	363	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about a road trip to see my grandparents.
chat-latest__blog_2004__10.txt	chat-latest	chat-latest	blog_2004	217	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about the album I have had on repeat all month.
chat-latest__blog_2004__11.txt	chat-latest	chat-latest	blog_2004	319	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about moving into my first apartment.
chat-latest__blog_2004__12.txt	chat-latest	chat-latest	blog_2004	269	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about my cat getting out and coming back three days later.
chat-latest__blog_2004__13.txt	chat-latest	chat-latest	blog_2004	233	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about a movie I saw at the theater this weekend.
chat-latest__blog_2004__14.txt	chat-latest	chat-latest	blog_2004	186	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about failing my driving test.
chat-latest__blog_2004__15.txt	chat-latest	chat-latest	blog_2004	307	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about starting my last year of high school.
chat-latest__blog_2004__16.txt	chat-latest	chat-latest	blog_2004	304	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about my dad trying to teach me to fix the car.
chat-latest__blog_2004__17.txt	chat-latest	chat-latest	blog_2004	278	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about a concert I went to.
chat-latest__blog_2004__18.txt	chat-latest	chat-latest	blog_2004	350	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about the presidential campaign and the debates coming up.
chat-latest__blog_2004__19.txt	chat-latest	chat-latest	blog_2004	202	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about a friend moving away.
chat-latest__blog_2004__20.txt	chat-latest	chat-latest	blog_2004	289	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about burning a mix CD for someone.
chat-latest__blog_2004__21.txt	chat-latest	chat-latest	blog_2004	214	2026-09-08	recorded	It is August 2004. Write an entry for my personal blog about my new phone that takes pictures.
