# Documents generated and then withdrawn from this arm. Kept because deleting
# the record of a measurement that once existed is exactly the habit this
# project argues against. These were generated against a model ALIAS, then
# regenerated against the resolved and pinned id, and the files were removed
# while these rows were not. Recorded 2026-09-01. They are not measured: only
# .txt files on disk are, and none of these are on disk.
file	model	served	genre	words	date	date_src	prompt
gpt-5.5__decision__01.txt	gpt-5.5		decision	196		unknown	Should I use Postgres or MongoDB for a booking system with about 50,000 records?
gpt-5.5__decision__02.txt	gpt-5.5		decision	354		unknown	We're deciding between hiring a second developer or paying for more contractors. Which way should we go?
gpt-5.5__decision__03.txt	gpt-5.5		decision	597		unknown	Should I take a 15% pay cut for a fully remote job?
gpt-5.5__decision__04.txt	gpt-5.5		decision	569		unknown	Is it worth moving our small office to a four-day week?
gpt-5.5__decision__05.txt	gpt-5.5		decision	725		unknown	Should we rebuild our ten-year-old internal tool or keep patching it?
gpt-5.5__critique_plan__01.txt	gpt-5.5		critique_plan	1176		unknown	Here's my plan for migrating 400 users to a new email system over one weekend. What am I missing?
gpt-5.5__critique_plan__02.txt	gpt-5.5		critique_plan	813		unknown	My plan is to run ads for six weeks, measure signups, and decide from there. Poke holes in it.
gpt-5.5__critique_plan__03.txt	gpt-5.5		critique_plan	798		unknown	I want to teach myself data analysis in three months by doing one project a week. Thoughts?
gpt-5.5__critique_plan__04.txt	gpt-5.5		critique_plan	542		unknown	We're going to fix our support backlog by hiring two temps for a month. What could go wrong?
gpt-5.5__critique_plan__05.txt	gpt-5.5		critique_plan	315		unknown	My plan for the quarter is to cut meetings by half and see what breaks. Reactions?
gpt-5.5__explain__01.txt	gpt-5.5		explain	1274		unknown	Explain how DNS actually resolves a domain name.
gpt-5.5__explain__02.txt	gpt-5.5		explain	211		unknown	Explain what a p-value is to someone who never took statistics.
gpt-5.5__explain__03.txt	gpt-5.5		explain	312		unknown	Explain why software estimates are always wrong.
gpt-5.5__explain__04.txt	gpt-5.5		explain	240		unknown	Explain how compound interest works and why it surprises people.
gpt-5.5__explain__05.txt	gpt-5.5		explain	347		unknown	Explain the difference between encryption and hashing.
gpt-5.5__diagnose__01.txt	gpt-5.5		diagnose	847		unknown	Our website is slow every weekday at 9am and fine the rest of the day. Where do I start?
gpt-5.5__diagnose__02.txt	gpt-5.5		diagnose	598		unknown	Two of my team members stopped talking to each other and the work is suffering. What now?
gpt-5.5__diagnose__03.txt	gpt-5.5		diagnose	496		unknown	My laptop battery went from a full day to three hours in about a month. What's happening?
gpt-5.5__diagnose__04.txt	gpt-5.5		diagnose	1379		unknown	Signups are steady but activation dropped 30% last month. How do I find the cause?
gpt-5.5__diagnose__05.txt	gpt-5.5		diagnose	579		unknown	Customers keep asking questions our documentation already answers. Why?
gpt-5.5__compare__01.txt	gpt-5.5		compare	519		unknown	What's the difference between a VPN and a proxy, practically speaking?
gpt-5.5__compare__02.txt	gpt-5.5		compare	594		unknown	Compare renting and buying a home for someone who moves every four years.
gpt-5.5__compare__03.txt	gpt-5.5		compare	408		unknown	What's the real difference between a CFO and a controller?
gpt-5.5__compare__04.txt	gpt-5.5		compare	477		unknown	Compare index funds and individual stocks for a first-time investor.
gpt-5.5__compare__05.txt	gpt-5.5		compare	828		unknown	How do a co-op and a condo actually differ for the owner?
gpt-5.5__review_work__01.txt	gpt-5.5		review_work	183		unknown	Read this and tell me if it's any good: 'Our mission is to empower businesses to unlock their full potential through innovative solutions.'
gpt-5.5__review_work__02.txt	gpt-5.5		review_work	125		unknown	Is this a good subject line? 'Quick question about your account'
gpt-5.5__review_work__03.txt	gpt-5.5		review_work	240		unknown	Here's my resume summary: 'Results-driven professional with 10+ years of experience.' Fix it or tell me why it's fine.
gpt-5.5__review_work__04.txt	gpt-5.5		review_work	118		unknown	I wrote this to a client: 'Sorry for the delay, things have been crazy here.' Should I send it?
gpt-5.5__review_work__05.txt	gpt-5.5		review_work	157		unknown	My about page opens with 'Founded in 2019, we are a team of passionate experts.' Thoughts?
gpt-5.5__personal__01.txt	gpt-5.5		personal	333		unknown	I got an offer from a competitor and my current boss just asked me directly if I'm interviewing. What do I say?
gpt-5.5__personal__02.txt	gpt-5.5		personal	258		unknown	My friend asked me to invest in her business and I don't think it will work. How do I answer?
gpt-5.5__personal__03.txt	gpt-5.5		personal	260		unknown	I've been in the same job for eleven years and I can't tell if that's stability or being stuck.
gpt-5.5__personal__04.txt	gpt-5.5		personal	303		unknown	My neighbor's tree drops branches in my yard every storm. How do I raise it without starting a feud?
gpt-5.5__personal__05.txt	gpt-5.5		personal	463		unknown	I said yes to organizing the family reunion and now I regret it. What are my options?
gpt-5.5__evaluate_claim__01.txt	gpt-5.5		evaluate_claim	347		unknown	Someone told me you should never pay off a low-interest mortgage early. Is that right?
gpt-5.5__evaluate_claim__02.txt	gpt-5.5		evaluate_claim	201		unknown	My coworker says standing desks don't actually do anything. True?
gpt-5.5__evaluate_claim__03.txt	gpt-5.5		evaluate_claim	198		unknown	Is it true that you shouldn't put a hot laptop battery in the fridge?
gpt-5.5__evaluate_claim__04.txt	gpt-5.5		evaluate_claim	323		unknown	A vendor claims their tool will cut our onboarding time in half. How should I read that?
gpt-5.5__evaluate_claim__05.txt	gpt-5.5		evaluate_claim	450		unknown	I read that most startups fail because of cofounder conflict. Does that hold up?
