file	source	date	why_known_human
medium__001.txt	medium	2020-09-18	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__002.txt	medium	2020-10-07	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__003.txt	medium	2020-10-25	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__004.txt	medium	2019-09-21	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__005.txt	medium	2020-12-13	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__006.txt	medium	2021-12-31	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__007.txt	medium	2020-12-23	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__008.txt	medium	2020-12-12	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__009.txt	medium	2019-01-02	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__010.txt	medium	2020-12-29	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__011.txt	medium	2019-10-22	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__012.txt	medium	2020-12-16	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__013.txt	medium	2021-06-17	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__014.txt	medium	2020-12-25	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__015.txt	medium	2019-09-05	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__016.txt	medium	2020-12-23	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__017.txt	medium	2021-07-11	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__018.txt	medium	2020-12-16	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__019.txt	medium	2020-11-18	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__020.txt	medium	2020-12-18	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__021.txt	medium	2021-01-04	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__022.txt	medium	2022-01-09	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__023.txt	medium	2020-07-29	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__024.txt	medium	2020-12-03	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__025.txt	medium	2018-04-10	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__026.txt	medium	2020-05-12	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__027.txt	medium	2020-08-03	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__028.txt	medium	2020-07-21	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__029.txt	medium	2019-11-10	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__030.txt	medium	2021-06-16	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__031.txt	medium	2020-12-14	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__032.txt	medium	2019-04-07	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__033.txt	medium	2020-06-25	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__034.txt	medium	2020-12-02	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__035.txt	medium	2021-01-08	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__036.txt	medium	2018-07-27	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__037.txt	medium	2020-02-10	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__038.txt	medium	2020-12-23	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__039.txt	medium	2019-12-10	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
medium__040.txt	medium	2020-12-28	Medium articles scraped 2022, filtered to pre-ChatGPT publication dates
