file	model	served	genre	words	date	date_src	prompt
chat-latest__decision__01.txt	chat-latest		decision	218	2026-08-27	mtime	Should I use Postgres or MongoDB for a booking system with about 50,000 records?
chat-latest__decision__02.txt	chat-latest		decision	259	2026-08-27	mtime	We're deciding between hiring a second developer or paying for more contractors. Which way should we go?
chat-latest__decision__03.txt	chat-latest		decision	267	2026-08-27	mtime	Should I take a 15% pay cut for a fully remote job?
chat-latest__decision__04.txt	chat-latest		decision	262	2026-08-27	mtime	Is it worth moving our small office to a four-day week?
chat-latest__decision__05.txt	chat-latest		decision	295	2026-08-27	mtime	Should we rebuild our ten-year-old internal tool or keep patching it?
chat-latest__critique_plan__01.txt	chat-latest		critique_plan	243	2026-08-27	mtime	Here's my plan for migrating 400 users to a new email system over one weekend. What am I missing?
chat-latest__critique_plan__02.txt	chat-latest		critique_plan	275	2026-08-27	mtime	My plan is to run ads for six weeks, measure signups, and decide from there. Poke holes in it.
chat-latest__critique_plan__03.txt	chat-latest		critique_plan	423	2026-08-27	mtime	I want to teach myself data analysis in three months by doing one project a week. Thoughts?
chat-latest__critique_plan__04.txt	chat-latest		critique_plan	311	2026-08-27	mtime	We're going to fix our support backlog by hiring two temps for a month. What could go wrong?
chat-latest__critique_plan__05.txt	chat-latest		critique_plan	127	2026-08-27	mtime	My plan for the quarter is to cut meetings by half and see what breaks. Reactions?
chat-latest__explain__01.txt	chat-latest		explain	318	2026-08-27	mtime	Explain how DNS actually resolves a domain name.
chat-latest__explain__02.txt	chat-latest		explain	194	2026-08-27	mtime	Explain what a p-value is to someone who never took statistics.
chat-latest__explain__03.txt	chat-latest		explain	332	2026-08-27	mtime	Explain why software estimates are always wrong.
chat-latest__explain__04.txt	chat-latest		explain	220	2026-08-27	mtime	Explain how compound interest works and why it surprises people.
chat-latest__explain__05.txt	chat-latest		explain	187	2026-08-27	mtime	Explain the difference between encryption and hashing.
chat-latest__diagnose__01.txt	chat-latest		diagnose	235	2026-08-27	mtime	Our website is slow every weekday at 9am and fine the rest of the day. Where do I start?
chat-latest__diagnose__02.txt	chat-latest		diagnose	314	2026-08-27	mtime	Two of my team members stopped talking to each other and the work is suffering. What now?
chat-latest__diagnose__03.txt	chat-latest		diagnose	172	2026-08-27	mtime	My laptop battery went from a full day to three hours in about a month. What's happening?
chat-latest__diagnose__04.txt	chat-latest		diagnose	351	2026-08-27	mtime	Signups are steady but activation dropped 30% last month. How do I find the cause?
chat-latest__diagnose__05.txt	chat-latest		diagnose	273	2026-08-27	mtime	Customers keep asking questions our documentation already answers. Why?
chat-latest__compare__01.txt	chat-latest		compare	196	2026-08-27	mtime	What's the difference between a VPN and a proxy, practically speaking?
chat-latest__compare__02.txt	chat-latest		compare	273	2026-08-27	mtime	Compare renting and buying a home for someone who moves every four years.
chat-latest__compare__03.txt	chat-latest		compare	298	2026-08-27	mtime	What's the real difference between a CFO and a controller?
chat-latest__compare__04.txt	chat-latest		compare	269	2026-08-27	mtime	Compare index funds and individual stocks for a first-time investor.
chat-latest__compare__05.txt	chat-latest		compare	376	2026-08-27	mtime	How do a co-op and a condo actually differ for the owner?
chat-latest__review_work__01.txt	chat-latest		review_work	126	2026-08-27	mtime	Read this and tell me if it's any good: 'Our mission is to empower businesses to unlock their full potential through innovative solutions.'
chat-latest__review_work__02.txt	chat-latest		review_work	82	2026-08-27	mtime	Is this a good subject line? 'Quick question about your account'
chat-latest__review_work__03.txt	chat-latest		review_work	97	2026-08-27	mtime	Here's my resume summary: 'Results-driven professional with 10+ years of experience.' Fix it or tell me why it's fine.
chat-latest__review_work__04.txt	chat-latest		review_work	57	2026-08-27	mtime	I wrote this to a client: 'Sorry for the delay, things have been crazy here.' Should I send it?
chat-latest__review_work__05.txt	chat-latest		review_work	131	2026-08-27	mtime	My about page opens with 'Founded in 2019, we are a team of passionate experts.' Thoughts?
chat-latest__personal__01.txt	chat-latest		personal	235	2026-08-27	mtime	I got an offer from a competitor and my current boss just asked me directly if I'm interviewing. What do I say?
chat-latest__personal__02.txt	chat-latest		personal	157	2026-08-27	mtime	My friend asked me to invest in her business and I don't think it will work. How do I answer?
chat-latest__personal__03.txt	chat-latest		personal	217	2026-08-27	mtime	I've been in the same job for eleven years and I can't tell if that's stability or being stuck.
chat-latest__personal__04.txt	chat-latest		personal	239	2026-08-27	mtime	My neighbor's tree drops branches in my yard every storm. How do I raise it without starting a feud?
chat-latest__personal__05.txt	chat-latest		personal	257	2026-08-27	mtime	I said yes to organizing the family reunion and now I regret it. What are my options?
chat-latest__evaluate_claim__01.txt	chat-latest		evaluate_claim	319	2026-08-27	mtime	Someone told me you should never pay off a low-interest mortgage early. Is that right?
chat-latest__evaluate_claim__02.txt	chat-latest		evaluate_claim	136	2026-08-27	mtime	My coworker says standing desks don't actually do anything. True?
chat-latest__evaluate_claim__03.txt	chat-latest		evaluate_claim	142	2026-08-27	mtime	Is it true that you shouldn't put a hot laptop battery in the fridge?
chat-latest__evaluate_claim__04.txt	chat-latest		evaluate_claim	236	2026-08-27	mtime	A vendor claims their tool will cut our onboarding time in half. How should I read that?
chat-latest__evaluate_claim__05.txt	chat-latest		evaluate_claim	293	2026-08-27	mtime	I read that most startups fail because of cofounder conflict. Does that hold up?
chat-latest__decision__06.txt	chat-latest		decision	268	2026-08-28	mtime	Do I renew a three-year software contract at a discount or go year to year?
chat-latest__decision__07.txt	chat-latest		decision	173	2026-08-28	mtime	Should a two-person company bother with formal performance reviews?
chat-latest__decision__08.txt	chat-latest		decision	221	2026-08-28	mtime	Is it a mistake to launch a product without a pricing page?
chat-latest__critique_plan__06.txt	chat-latest		critique_plan	157	2026-08-28	mtime	I want to move our backups from an external drive to cloud storage and stop the drive rotation. Sound right?
chat-latest__critique_plan__07.txt	chat-latest		critique_plan	242	2026-08-28	mtime	We plan to open a second location once the first one clears 20% margin. Is that the right trigger?
chat-latest__critique_plan__08.txt	chat-latest		critique_plan	438	2026-08-28	mtime	I'm going to reply to every customer review personally for a year. Talk me through it.
chat-latest__explain__06.txt	chat-latest		explain	357	2026-08-28	mtime	Explain what happens to my data when a company says it was breached.
chat-latest__explain__07.txt	chat-latest		explain	194	2026-08-28	mtime	Explain why airlines overbook flights.
chat-latest__explain__08.txt	chat-latest		explain	261	2026-08-28	mtime	Explain how a bill becomes law in the United States.
chat-latest__diagnose__06.txt	chat-latest		diagnose	224	2026-08-28	mtime	Our weekly meeting always runs over and nobody remembers what was decided. Diagnose it.
chat-latest__diagnose__07.txt	chat-latest		diagnose	288	2026-08-28	mtime	I keep missing deadlines even though I'm working more hours than ever. What's going on?
chat-latest__diagnose__08.txt	chat-latest		diagnose	187	2026-08-28	mtime	Sales says the product is fine and support says it's broken. Who do I believe?
chat-latest__compare__06.txt	chat-latest		compare	358	2026-08-28	mtime	Compare an electric car and a hybrid for someone who drives 12,000 miles a year.
chat-latest__compare__07.txt	chat-latest		compare	269	2026-08-28	mtime	What's the difference between a trademark and a copyright for a small brand?
chat-latest__compare__08.txt	chat-latest		compare	431	2026-08-28	mtime	Compare an in-house help desk with an outsourced one for a 60-person company.
chat-latest__review_work__06.txt	chat-latest		review_work	102	2026-08-28	mtime	Is 'circle back' an acceptable thing to write in a work email?
chat-latest__review_work__07.txt	chat-latest		review_work	216	2026-08-28	mtime	My pitch is 'Uber but for dog walking.' What's wrong with that as a description?
chat-latest__review_work__08.txt	chat-latest		review_work	144	2026-08-28	mtime	I named my product 'Synergize.' Be straight with me.
chat-latest__personal__06.txt	chat-latest		personal	311	2026-08-28	mtime	A colleague takes credit for my work in meetings. What do I actually do about it?
chat-latest__personal__07.txt	chat-latest		personal	232	2026-08-28	mtime	I want to go back to school at 41 and everyone thinks it's a bad idea.
chat-latest__personal__08.txt	chat-latest		personal	271	2026-08-28	mtime	My adult son wants to move back home and I'm not sure I want that.
chat-latest__evaluate_claim__06.txt	chat-latest		evaluate_claim	221	2026-08-28	mtime	Someone said breakfast being the most important meal was invented by cereal companies. Is it?
chat-latest__evaluate_claim__07.txt	chat-latest		evaluate_claim	176	2026-08-28	mtime	My IT guy says password rotation every 90 days is outdated advice. Is he right?
chat-latest__evaluate_claim__08.txt	chat-latest		evaluate_claim	379	2026-08-28	mtime	A consultant told us our website needs a full rebuild, not a redesign. How do I judge that?
