file	arm	seed	round	model	served	genre	words	ctx_words	date	date_src	prompt
linkedin__01__C__r0.txt	C	linkedin__01	0	claude-opus-5	claude-opus-5	linkedin	303	13	2026-09-01	recorded	Write a LinkedIn post about why our team switched to a four-day week.
linkedin__01__A__r1.txt	A	linkedin__01	1	claude-opus-5	claude-opus-5	linkedin	262	340	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
linkedin__01__A__r2.txt	A	linkedin__01	2	claude-opus-5	claude-opus-5	linkedin	142	627	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
linkedin__01__A__r3.txt	A	linkedin__01	3	claude-opus-5	claude-opus-5	linkedin	124	799	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
linkedin__01__B__r1.txt	B	linkedin__01	1	claude-opus-5	claude-opus-5	linkedin	352	340	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
linkedin__01__B__r2.txt	B	linkedin__01	2	claude-opus-5	claude-opus-5	linkedin	240	716	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
linkedin__01__B__r3.txt	B	linkedin__01	3	claude-opus-5	claude-opus-5	linkedin	238	984	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
cover_letter__01__C__r0.txt	C	cover_letter__01	0	claude-opus-5	claude-opus-5	cover_letter	460	13	2026-09-01	recorded	Write a cover letter for an operations manager job at a logistics company.
cover_letter__01__A__r1.txt	A	cover_letter__01	1	claude-opus-5	claude-opus-5	cover_letter	253	497	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
cover_letter__01__A__r2.txt	A	cover_letter__01	2	claude-opus-5	claude-opus-5	cover_letter	108	775	2026-09-01	recorded	This runs much longer than it needed to and buries the point. Cut it to about half the length and lead with the main point.
cover_letter__01__A__r3.txt	A	cover_letter__01	3	claude-opus-5	claude-opus-5	cover_letter	193	913	2026-09-01	recorded	You put in a claim about results that I never gave you, and I can't publish that. Take out the claim about results and leave everything else as it is.
cover_letter__01__B__r1.txt	B	cover_letter__01	1	claude-opus-5	claude-opus-5	cover_letter	514	497	2026-09-01	recorded	I want to see this written for a different reader than the first version. Rewrite it for a reader who already knows the background.
cover_letter__01__B__r2.txt	B	cover_letter__01	2	claude-opus-5	claude-opus-5	cover_letter	244	1035	2026-09-01	recorded	I need a shorter version of this for a different placement. Cut it to about half the length and lead with the main point.
cover_letter__01__B__r3.txt	B	cover_letter__01	3	claude-opus-5	claude-opus-5	cover_letter	240	1307	2026-09-01	recorded	We can't include a claim about results in this one, for reasons on our end. Take out the claim about results and leave everything else as it is.
newsletter__01__C__r0.txt	C	newsletter__01	0	claude-opus-5	claude-opus-5	newsletter	1440	13	2026-09-01	recorded	Write a newsletter issue about how to build a morning routine that sticks.
newsletter__01__A__r1.txt	A	newsletter__01	1	claude-opus-5	claude-opus-5	newsletter	1235	1477	2026-09-01	recorded	You've written this for someone with no context, which isn't what I asked for. Rewrite it for a reader who already knows the background.
