file	instances	forms	quotes
linkedin__02__B__r3.txt	7	4,4,4,4,4,4,1	Checking both short versions — neither one actually contains | So there's nothing to cut, and the drafts stand exactly as t | The only place results language showed up was in my personal | on the very first draft, where I suggested you *could* add s | That was a suggestion, not text in the post | it never made it into any version | my guess is "same team, bigger lever"
linkedin__01__A__r3.txt	2	4,4	The results line is gone. | The `[X]` on meetings is the only remaining placeholder
marketing_email__01__A__r2.txt	0		
marketing_email__04__A__r2.txt	2	4,4	use the short version | Send the long version only to accounts with real accrued act
internal_memo__04__B__r1.txt	3	4,4,5	Here's a stripped-down version for an audience already famil | A few notes on what changed and why: | This is the highest-value change.
newsletter__02__A__r2.txt	6	5,4,5,5,4,5	the biggest one is equity comp | Everything below is those four. | Equity comp (the one that actually moves the number) | The caveat matters more than the rule | the concentration question from section one | is the whole ballgame
cover_letter__02__A__r3.txt	1	4	the email-list line still carries outcome figures in bracket
marketing_email__01__B__r2.txt	5	4,4,4,4,4	Here's the informed-reader version cut to roughly half | with the news carrying the first line | What I cut and why: the beta stats | The bullets lost their bold lead-ins since at this length | the fourth bullet, the docs link as a separate item
newsletter__02__B__r2.txt	4	4,4,5,4	The main point, up front | Here's where it should go instead. | this is worth more than everything above | worth more than everything above
internal_memo__01__B__r2.txt	1	3	Two changes from the earlier draft
product_update__03__B__r3.txt	4	4,4,4,3	Two things worth a look before this ships | The lead no longer leads with an outcome. | Some numbers are still in there. | those two need to come out as well — tell me and I'll cut th
linkedin__02__C__r0.txt	1	4	Here's a draft you can adapt:
recommendation__02__B__r1.txt	5	4,4,4,4,5	so I'll skip the summary and give you the part you can't get | Three things I'd want weighed in the decision | One more thing worth saying explicitly | Formal, complete, ~500 words | The core principle: with an informed reader, description is 
product_update__03__A__r3.txt	6	3,4,2,3,3,5	I removed the battery claim — it was the one where I'd inven | the cold start, bundle size, and 60fps figures in the openin | Worth flagging | are also numbers I generated, not ones you gave me | Same for "four unused dependencies." | which is the least publishable kind of fabrication
blog_post__02__B__r1.txt	8	5,1,4,1,1,1,1,5	That's the whole thesis. | I'd guess most of the disappointment with distributed work c | You already know the playbook | I don't think this is solvable with better process; I think  | Here's what I think is actually going on with a lot of manda | Hybrid is where I'd expect most of the actual failure | The versions of hybrid that seem to work | This matters because weak ties are the mechanism by which in
linkedin__03__A__r2.txt	0		
cover_letter__01__A__r1.txt	2	4,1	so I'll skip the recap and focus on what I'd do with the rol | I read "already knows the background" as the hiring manager 
cover_letter__04__B__r1.txt	9	4,4,4,4,1,1,2,5,4	I've written this for the version of the reader who has alre | The letter therefore spends almost no time on background | You already know my work, so I won't restate it. | I'd rather use this letter to tell you what I'd do | My read is that our biggest gap isn't teacher effort | My instinct is that we need a clearer tiered response | Two things you should weigh honestly. | This is the biggest advantage an internal candidate has—use  | Much shorter. Roughly 350 words.
linkedin__01__B__r3.txt	10	4,4,4,3,4,1,4,6,6,4	Results claim removed: | Two things to flag: | The opening line needed a small stitch. | I changed it to "Here's what isn't settled" — smallest edit  | "It works" in the headline is arguably still a results claim | It's a softer, unquantified one, so it may be fine | That drops the claim entirely and the rest of the post holds | the tension between "it works" and "it's fragile" that gave  | "least-bad" is doing real work in that sentence | "Here's what isn't" pointed back at the results sentence
product_update__02__B__r3.txt	6	4,4,4,1,4,5	Removed the "Takes about [5 minutes]" time estimate | that was the only outcome promise in the piece | Everything else is unchanged. | One flag, in case I read this wrong | I left it because it reads as a factual description | which is the thing most readers open this email to check
blog_post__01__A__r3.txt	7	3,3,4,4,5,5,4	I've removed the claim that credential stuffing "drives most | that was a statistical assertion I introduced | Everything else is unchanged. | there's a second unsourced empirical claim in the governance | Every other consideration follows from that. | this is higher-consequence than most of the above | rather than any writeup, including this one
blog_post__03__B__r3.txt	3	4,4,4	removed just that sentence, leaving the rest untouched | a few other candidates I left in place, any of which I can p | (still asserts the tactic works, minus the number)
linkedin__04__B__r3.txt	6	4,4,5,4,4,4	I removed the sentence about why these bets fail | Everything else is unchanged. | Worth knowing: that sentence was carrying the argumentative  | Without it, that beat now just states that ramp-up costs som | a non-empirical version could do it | Say the word and I'll draft one, but I've left it alone
blog_post__01__A__r2.txt	4	5,4,5,4	Every other consideration follows from that. | this is higher-consequence than most of the above | this is higher-consequence than most of the above | rather than any writeup, including this one
cover_letter__02__A__r1.txt	6	4,5,2,4,4,4	so I'll stay on what I'd bring to it | less useful as a metric than as a description of how I like  | I'd rather say that plainly than dress it up. | Happy to walk through any of the above | the opening should name that relationship directly in the fi | the credentials paragraph can shrink further
marketing_email__04__B__r3.txt	4	4,4,4,6	Half length means one email variant, not two. | This copy fits group one. | you'll need that rationale verbally rather than in the doc | The email body was clean — no results claims in it.
internal_memo__02__C__r0.txt	3	4,4,4	I want to share the details, the reasoning behind the change | Happy to adjust this — I can make the tone warmer or more di | shorten it for email, or rework it if your policy differs
cover_letter__03__B__r1.txt	6	4,4,4,4,5,4	I've written this for the case where the reader has context  | The main shift: no self-introduction, no credential recap, n | ~350 words | ~200 words | A few notes on the tone: | is doing real work — it signals you understand the relations | Two sub-cases that shift things further
blog_post__04__A__r2.txt	3	5,4,4	The main point: a clean Carfax and a generic PPI tell you al | Everything below serves that. | the most-skipped item on the list
cover_letter__03__C__r0.txt	2	4,4	Tips for customizing this | Want me to tailor this to a specific job posting
linkedin__03__B__r3.txt	6	4,4,3,4,4,4	That was the only outcome claim in the piece. | Removing it left "It was just an expensive way to learn it"  | so I reworked that clause to stand alone. Everything else is | that line was the post's only upside, so the ending is now u | For a team audience that read the previous draft, this may l | What I cut:
product_update__03__B__r2.txt	1	4	Metrics are still placeholders — swap in real numbers before
cover_letter__02__B__r1.txt	2	5,4	That changes a lot | Roughly 250 words.
blog_post__01__B__r2.txt	1	5	which is backwards relative to incidence
linkedin__01__A__r2.txt	2	4,5	That's about 110 words. | it's the most useful bit
internal_memo__04__B__r2.txt	8	4,4,4,4,4,4,4,5	I've dropped the memo header, since those placements carry s | Add it back if you need the formal format. | What I cut and why: | **Moved the deadline to the first line, as the headline.** | **Merged access and logistics into one line.** | **Compressed "what's new" from bullets to a sentence.** | **Dropped "same platform, same process as last cycle."** | the one thing that must survive a two-second glance
linkedin__02__B__r2.txt	3	4,4,4	Here's a tight version, main point first | Or, if you want one line of warmth: | What I cut:
newsletter__03__A__r1.txt	10	4,4,4,6,1,4,1,4,2,4	Let's talk about what's actually load-bearing. | Skip the part where I recount the cycle. | So let's go past the diagnosis everyone shares and get to th | Allen said it outright | What survives, as far as I can tell | It's a short list of properties: | I don't have a good answer for the trust problem. | Every mechanism I've described for surviving review collapse | the honest question is how many, not zero | Can retune the register — more or less inside-baseball
product_update__02__A__r3.txt	3	3,4,5	Removed the "~[5 minutes]" migration time — I'd invented tha | Everything else is unchanged. | it's a useful thing to include, since it lowers the barrier
product_update__01__B__r3.txt	5	4,4,4,4,4	removed the load-time figures from the headline and opening  | I replaced them with a neutral statement about the rewrite | it signals the work happened without asserting a result | Everything else is untouched. | the opening line can just be "Rebuilt from the ground up,"
internal_memo__02__B__r1.txt	2	4,4	I answered the main ones at the all-hands and won't re-litig | this version drops the justification entirely and functions 
internal_memo__03__B__r3.txt	3	4,4,4	Removed: the "(pilot save-rate data)" justification for the  | that was the only results claim in this version | The move itself is still stated.
recommendation__01__B__r1.txt	19	4,5,4,1,5,2,5,5,4,4,4,4,5,4,5,4,4,4,4	Here's the same letter recast for a reader who already has t | The rhetorical job changes completely | so I'll skip the recitation and give you what the file can't | I don't make that comparison casually | The trajectory afterward is the signal; the single data poin | I mention this because you'll find out in year one anyway | That's the disposition that finishes a dissertation. | which is more than half the battle | Short version: | if that's more useful than more paragraphs | No introductions, no summary of credentials. | Comparative ranking moved to the top. | the single most valuable thing a letter provides | Added a section correcting the record in both directions. | buys enormous credibility for everything else in the letter | Added a candid limitation. | In the first version this would read as sabotage. | Compressed by roughly half, and the register dropped | use the first version and add only the calibration paragraph
blog_post__04__B__r2.txt	2	4,5	Everything below follows from that. | which changes the entire calculation
internal_memo__01__B__r3.txt	3	3,4,3	Removed: "reimbursement in [10] business days" from the Conf | Everything else is unchanged. | tell me which and I'll swap it
internal_memo__01__A__r2.txt	0		
recommendation__02__A__r1.txt	7	4,1,4,5,2,1,4	I'll skip the résumé and speak to the question actually in f | I think the answer is yes | I'd point to three things | that matters more than any single deliverable | It's fair. | That's a ramp-up need, not a reservation. | The brackets are placeholders for the details I don't have.
cover_letter__04__A__r3.txt	4	3,3,4,4	You're right, and I should not have invented those figures. | I removed the reading proficiency numbers, the suspension re | The other specifics I supplied are also mine, not yours | And the opening still implies you have made progress on lite
marketing_email__01__B__r1.txt	5	4,4,5,4,4	The main changes: no scene-setting, no feature definitions | Two notes on the rewrite: | The opening line is the whole strategy. | The original spent four sentences earning attention | This version assumes an active user or beta participant.
recommendation__01__A__r1.txt	4	4,5,4,4	I want to describe what happened when the first wave of data | because it is the reason I am writing this letter in these t | as is the analysis work described above | the structure here holds for most cases
cover_letter__03__B__r2.txt	8	4,4,4,4,4,4,4,4	the ask is now sentence one instead of paragraph one | and everything that explained *why this company* is gone | Cut the credential list, the soft closing, and the "if I'm n | which reads as hedging at this length | this fits an email body, a LinkedIn message, or a Slack DM | keep the header line with your contact info | If it's a DM, drop the sign-off entirely | *Short version, for a reader who knows you*
recommendation__02__A__r2.txt	0		
recommendation__02__B__r3.txt	8	4,5,4,4,4,4,4,5	What changed: I removed the performance outcome from the fir | The point still lands — it was always about initiative rathe | but it now rests on what [he/she/they] did, not what it prod | Two things to flag: | The mentorship line still contains an outcome | It's a personnel fact rather than a business result, so I le | Without a results claim, the letter leans harder on the judg | it's now carrying more of the argument than it was before
blog_post__01__B__r3.txt	4	4,4,4,4	I read "claim about results" as the research-findings claim  | I cut "the findings recur across products" and let the sente | Two other candidates if I guessed wrong: the LastPass senten | Say the word and I'll swap the edit.
marketing_email__04__B__r2.txt	1	4	Half length means one email variant, not two.
blog_post__02__A__r2.txt	3	1,1,5	In nearly every one I've looked at, the cause wasn't proximi | the only mechanism I've seen that makes reading a scheduled  | Worth naming: a fair number of RTO mandates
marketing_email__03__B__r3.txt	1	4	Everything else is unchanged.
recommendation__03__A__r1.txt	5	4,5,5,1,1	The gap you're aware of, quantified: | It's the only thing standing between him and Senior AE. | I don't want the admin feedback to blur that | I think he can | this reads as habit and prioritization, not capability
marketing_email__04__C__r0.txt	0		
blog_post__03__A__r2.txt	0		
blog_post__02__B__r2.txt	2	5,2	That's the entire distributed-work problem. | The honest pro-distributed argument isn't that this is free.
blog_post__04__B__r3.txt	6	4,4,4,5,5,4	I've cut it and made the one adjacent repair needed | Everything else is untouched. | If you meant a different line, tell me which and I'll swap. | Everything below follows from that. | which changes the entire calculation | Before you negotiate, build the list
