file	model	genre	words	prompt
gemini-flash-latest__linkedin__01.txt	gemini-flash-latest	linkedin	507	Write a LinkedIn post about why our team switched to a four-day week.
gemini-flash-latest__linkedin__02.txt	gemini-flash-latest	linkedin	487	Write a LinkedIn post announcing that I've been promoted to director of operations.
gemini-flash-latest__linkedin__03.txt	gemini-flash-latest	linkedin	583	Write a LinkedIn post about what I learned from a project that failed.
gemini-flash-latest__linkedin__04.txt	gemini-flash-latest	linkedin	318	Write a LinkedIn post about hiring for attitude over experience.
gemini-flash-latest__linkedin__05.txt	gemini-flash-latest	linkedin	595	Write a LinkedIn post about attending my first industry conference in five years.
gemini-flash-latest__cover_letter__01.txt	gemini-flash-latest	cover_letter	419	Write a cover letter for an operations manager job at a logistics company.
gemini-flash-latest__cover_letter__02.txt	gemini-flash-latest	cover_letter	386	Write a cover letter for a marketing coordinator role at a nonprofit.
gemini-flash-latest__cover_letter__03.txt	gemini-flash-latest	cover_letter	506	Write a cover letter for a junior software developer position.
gemini-flash-latest__cover_letter__04.txt	gemini-flash-latest	cover_letter	504	Write a cover letter for a school administrator job.
gemini-flash-latest__cover_letter__05.txt	gemini-flash-latest	cover_letter	492	Write a cover letter for an accounting role at a mid-sized manufacturer.
gemini-flash-latest__newsletter__01.txt	gemini-flash-latest	newsletter	682	Write a newsletter issue about how to build a morning routine that sticks.
gemini-flash-latest__newsletter__02.txt	gemini-flash-latest	newsletter	709	Write a newsletter issue about managing money in your twenties.
gemini-flash-latest__newsletter__03.txt	gemini-flash-latest	newsletter	767	Write a newsletter issue about why most productivity systems fail.
gemini-flash-latest__newsletter__04.txt	gemini-flash-latest	newsletter	642	Write a newsletter issue about dealing with burnout at work.
gemini-flash-latest__newsletter__05.txt	gemini-flash-latest	newsletter	757	Write a newsletter issue about the psychology of habit change.
gemini-flash-latest__marketing_email__01.txt	gemini-flash-latest	marketing_email	305	Write a marketing email announcing a new feature in our project management app.
gemini-flash-latest__marketing_email__02.txt	gemini-flash-latest	marketing_email	344	Write a marketing email for a local gym's January membership offer.
gemini-flash-latest__marketing_email__03.txt	gemini-flash-latest	marketing_email	530	Write a marketing email inviting customers to a webinar on tax changes.
gemini-flash-latest__marketing_email__04.txt	gemini-flash-latest	marketing_email	390	Write a marketing email re-engaging customers who haven't logged in for 90 days.
gemini-flash-latest__marketing_email__05.txt	gemini-flash-latest	marketing_email	328	Write a marketing email launching a new line of running shoes.
gemini-flash-latest__blog_post__01.txt	gemini-flash-latest	blog_post	862	Write a blog post about choosing a password manager.
gemini-flash-latest__blog_post__02.txt	gemini-flash-latest	blog_post	780	Write a blog post about remote work and company culture.
gemini-flash-latest__blog_post__03.txt	gemini-flash-latest	blog_post	743	Write a blog post about how to run a better meeting.
gemini-flash-latest__blog_post__04.txt	gemini-flash-latest	blog_post	1103	Write a blog post about what to look for when buying a used car.
gemini-flash-latest__blog_post__05.txt	gemini-flash-latest	blog_post	755	Write a blog post about the basics of home network security.
gemini-flash-latest__internal_memo__01.txt	gemini-flash-latest	internal_memo	394	Write a memo to staff announcing a new expense policy.
gemini-flash-latest__internal_memo__02.txt	gemini-flash-latest	internal_memo	431	Write a memo to staff about returning to the office three days a week.
gemini-flash-latest__internal_memo__03.txt	gemini-flash-latest	internal_memo	453	Write a memo announcing a reorganization of the customer service team.
gemini-flash-latest__internal_memo__04.txt	gemini-flash-latest	internal_memo	289	Write a memo to staff about a new mandatory security training.
gemini-flash-latest__internal_memo__05.txt	gemini-flash-latest	internal_memo	482	Write a memo explaining changes to the annual review process.
gemini-flash-latest__product_update__01.txt	gemini-flash-latest	product_update	481	Write a product update announcing a redesigned dashboard.
gemini-flash-latest__product_update__02.txt	gemini-flash-latest	product_update	518	Write a product update explaining that we're sunsetting an old integration.
gemini-flash-latest__product_update__03.txt	gemini-flash-latest	product_update	483	Write a product update about improved mobile performance.
gemini-flash-latest__product_update__04.txt	gemini-flash-latest	product_update	492	Write a product update announcing single sign-on support.
gemini-flash-latest__product_update__05.txt	gemini-flash-latest	product_update	425	Write a product update about a new reporting feature.
gemini-flash-latest__recommendation__01.txt	gemini-flash-latest	recommendation	531	Write a letter of recommendation for a student applying to graduate school.
gemini-flash-latest__recommendation__02.txt	gemini-flash-latest	recommendation	430	Write a letter of recommendation for an employee applying for an internal promotion.
gemini-flash-latest__recommendation__03.txt	gemini-flash-latest	recommendation	691	Write a performance review for a sales rep who exceeded quota but struggled with paperwork.
gemini-flash-latest__recommendation__04.txt	gemini-flash-latest	recommendation	708	Write a performance review for a developer who is technically strong and hard to work with.
gemini-flash-latest__recommendation__05.txt	gemini-flash-latest	recommendation	516	Write a letter of recommendation for a colleague applying for a board seat.
